"indexk","kx","ky","band"
606,0.,-0.3192,2.8392
607,0.,-0.2736,2.8293
608,0.,-0.228,2.7079
609,0.,-0.1824,2.5732
610,0.,-0.1368,2.4319
611,0.,-0.0912,2.2974
612,0.,-0.0456,2.1952
613,0.,0.,2.1561
614,0.,0.0456,2.1952
615,0.,0.0912,2.2974
616,0.,0.1368,2.4319
617,0.,0.1824,2.5732
618,0.,0.228,2.7079
619,0.,0.2736,2.8293
620,0.,0.3192,2.8392
621,0.,0.3648,2.7304
622,0.,0.4104,2.5768
623,0.,0.456,2.4588
624,0.,0.5016,2.3789
625,0.,0.5472,2.4403
626,0.,0.5928,2.5139
627,0.,0.6384,2.5823
628,0.,0.684,2.6444
629,0.,0.7296,2.6991
630,0.,0.7752,2.6071
631,0.0574,-0.7752,2.5847
632,0.0574,-0.7296,2.6044
633,0.0574,-0.684,2.5461
634,0.0574,-0.6384,2.4846
635,0.0574,-0.5928,2.422
636,0.0574,-0.5472,2.3785
637,0.0574,-0.5016,2.4003
638,0.0574,-0.456,2.4756
639,0.0574,-0.4104,2.5919
640,0.0574,-0.3648,2.7082
641,0.0574,-0.3192,2.6907
642,0.0574,-0.2736,2.6664
643,0.0574,-0.228,2.6245
644,0.0574,-0.1824,2.5421
645,0.0574,-0.1368,2.4227
646,0.0574,-0.0912,2.2972
647,0.0574,-0.0456,2.1989
648,0.0574,0.,2.1609
649,0.0574,0.0456,2.1989
650,0.0574,0.0912,2.2972
651,0.0574,0.1368,2.4227
652,0.0574,0.1824,2.5421
653,0.0574,0.228,2.6245
654,0.0574,0.2736,2.6664
655,0.0574,0.3192,2.6907
656,0.0574,0.3648,2.7082
657,0.0574,0.4104,2.5919
658,0.0574,0.456,2.4756
659,0.0574,0.5016,2.4003
660,0.0574,0.5472,2.3785
661,0.0574,0.5928,2.422
662,0.0574,0.6384,2.4846
663,0.0574,0.684,2.5461
664,0.0574,0.7296,2.6044
665,0.0574,0.7752,2.5847
666,0.1147,-0.7752,2.3134
667,0.1147,-0.7296,2.3518
668,0.1147,-0.684,2.3807
669,0.1147,-0.6384,2.4004
670,0.1147,-0.5928,2.3929
671,0.1147,-0.5472,2.3955
672,0.1147,-0.5016,2.4116
673,0.1147,-0.456,2.403
674,0.1147,-0.4104,2.39
675,0.1147,-0.3648,2.3739
676,0.1147,-0.3192,2.3556
677,0.1147,-0.2736,2.3359
678,0.1147,-0.228,2.315
679,0.1147,-0.1824,2.2917
680,0.1147,-0.1368,2.2624
681,0.1147,-0.0912,2.2194
682,0.1147,-0.0456,2.1674
683,0.1147,0.,2.1423
684,0.1147,0.0456,2.1674
685,0.1147,0.0912,2.2194
686,0.1147,0.1368,2.2624
687,0.1147,0.1824,2.2917
688,0.1147,0.228,2.315
689,0.1147,0.2736,2.3359
690,0.1147,0.3192,2.3556
691,0.1147,0.3648,2.3739
692,0.1147,0.4104,2.39
693,0.1147,0.456,2.403
694,0.1147,0.5016,2.4116
695,0.1147,0.5472,2.3955
696,0.1147,0.5928,2.3929
697,0.1147,0.6384,2.4004
698,0.1147,0.684,2.3807
699,0.1147,0.7296,2.3518
700,0.1147,0.7752,2.3134
701,0.1721,-0.7752,1.8862
702,0.1721,-0.7296,1.9213
703,0.1721,-0.684,1.9472
704,0.1721,-0.6384,1.9639
705,0.1721,-0.5928,1.9721
706,0.1721,-0.5472,1.9728
707,0.1721,-0.5016,1.9669
708,0.1721,-0.456,1.9558
709,0.1721,-0.4104,1.9408
710,0.1721,-0.3648,1.9232
711,0.1721,-0.3192,1.9043
712,0.1721,-0.2736,1.8853
713,0.1721,-0.228,1.8671
714,0.1721,-0.1824,1.8507
715,0.1721,-0.1368,1.8367
716,0.1721,-0.0912,1.8257
717,0.1721,-0.0456,1.8182
718,0.1721,0.,1.8154
719,0.1721,0.0456,1.8182
720,0.1721,0.0912,1.8257
721,0.1721,0.1368,1.8367
722,0.1721,0.1824,1.8507
723,0.1721,0.228,1.8671
724,0.1721,0.2736,1.8853
725,0.1721,0.3192,1.9043
726,0.1721,0.3648,1.9232
727,0.1721,0.4104,1.9408
728,0.1721,0.456,1.9558
729,0.1721,0.5016,1.9669
730,0.1721,0.5472,1.9728
731,0.1721,0.5928,1.9721
732,0.1721,0.6384,1.9639
733,0.1721,0.684,1.9472
734,0.1721,0.7296,1.9213
735,0.1721,0.7752,1.8862
736,0.2295,-0.7752,1.3908
737,0.2295,-0.7296,1.4243
738,0.2295,-0.684,1.4484
739,0.2295,-0.6384,1.4634
740,0.2295,-0.5928,1.4698
741,0.2295,-0.5472,1.4688
742,0.2295,-0.5016,1.4613
743,0.2295,-0.456,1.4488
744,0.2295,-0.4104,1.4326
745,0.2295,-0.3648,1.4141
746,0.2295,-0.3192,1.3945
747,0.2295,-0.2736,1.3751
748,0.2295,-0.228,1.3569
749,0.2295,-0.1824,1.3407
750,0.2295,-0.1368,1.3274
751,0.2295,-0.0912,1.3173
752,0.2295,-0.0456,1.311
753,0.2295,0.,1.3089
754,0.2295,0.0456,1.311
755,0.2295,0.0912,1.3173
756,0.2295,0.1368,1.3274
757,0.2295,0.1824,1.3407
758,0.2295,0.228,1.3569
759,0.2295,0.2736,1.3751
760,0.2295,0.3192,1.3945
761,0.2295,0.3648,1.4141
762,0.2295,0.4104,1.4326
763,0.2295,0.456,1.4488
764,0.2295,0.5016,1.4613
765,0.2295,0.5472,1.4688
766,0.2295,0.5928,1.4698
767,0.2295,0.6384,1.4634
768,0.2295,0.684,1.4484
769,0.2295,0.7296,1.4243
770,0.2295,0.7752,1.3908
771,0.2868,-0.7752,0.8735
772,0.2868,-0.7296,0.9058
773,0.2868,-0.684,0.9288
774,0.2868,-0.6384,0.9428
775,0.2868,-0.5928,0.9484
776,0.2868,-0.5472,0.9467
777,0.2868,-0.5016,0.9386
778,0.2868,-0.456,0.9257
779,0.2868,-0.4104,0.9092
780,0.2868,-0.3648,0.8905
781,0.2868,-0.3192,0.8709
782,0.2868,-0.2736,0.8514
783,0.2868,-0.228,0.8329
784,0.2868,-0.1824,0.8161
785,0.2868,-0.1368,0.8015
786,0.2868,-0.0912,0.7894
787,0.2868,-0.0456,0.7805
788,0.2868,0.,0.777
789,0.2868,0.0456,0.7805
790,0.2868,0.0912,0.7894
791,0.2868,0.1368,0.8015
792,0.2868,0.1824,0.8161
793,0.2868,0.228,0.8329
794,0.2868,0.2736,0.8514
795,0.2868,0.3192,0.8709
796,0.2868,0.3648,0.8905
797,0.2868,0.4104,0.9092
798,0.2868,0.456,0.9257
799,0.2868,0.5016,0.9386
800,0.2868,0.5472,0.9467
801,0.2868,0.5928,0.9484
802,0.2868,0.6384,0.9428
803,0.2868,0.684,0.9288
804,0.2868,0.7296,0.9058
805,0.2868,0.7752,0.8735
806,0.3442,-0.7752,0.3675
807,0.3442,-0.7296,0.399
808,0.3442,-0.684,0.4216
809,0.3442,-0.6384,0.4355
810,0.3442,-0.5928,0.4414
811,0.3442,-0.5472,0.4401
812,0.3442,-0.5016,0.4329
813,0.3442,-0.456,0.421
814,0.3442,-0.4104,0.4058
815,0.3442,-0.3648,0.3886
816,0.3442,-0.3192,0.3707
817,0.3442,-0.2736,0.3532
818,0.3442,-0.228,0.3371
819,0.3442,-0.1824,0.3235
820,0.3442,-0.1368,0.3134
821,0.3442,-0.0912,0.3099
822,0.3442,-0.0456,0.3238
823,0.3442,0.,0.344
824,0.3442,0.0456,0.3238
825,0.3442,0.0912,0.3099
826,0.3442,0.1368,0.3134
827,0.3442,0.1824,0.3235
828,0.3442,0.228,0.3371
829,0.3442,0.2736,0.3532
830,0.3442,0.3192,0.3707
831,0.3442,0.3648,0.3886
832,0.3442,0.4104,0.4058
833,0.3442,0.456,0.421
834,0.3442,0.5016,0.4329
835,0.3442,0.5472,0.4401
836,0.3442,0.5928,0.4414
837,0.3442,0.6384,0.4355
838,0.3442,0.684,0.4216
839,0.3442,0.7296,0.399
840,0.3442,0.7752,0.3675
841,0.4016,-0.7752,-0.0984
842,0.4016,-0.7296,-0.067
843,0.4016,-0.684,-0.0437
844,0.4016,-0.6384,-0.0285
845,0.4016,-0.5928,-0.0207
846,0.4016,-0.5472,-0.0194
847,0.4016,-0.5016,-0.0232
848,0.4016,-0.456,-0.0309
849,0.4016,-0.4104,-0.0407
850,0.4016,-0.3648,-0.0508
851,0.4016,-0.3192,-0.0586
852,0.4016,-0.2736,-0.0599
853,0.4016,-0.228,-0.0451
854,0.4016,-0.1824,0.0082
855,0.4016,-0.1368,0.1205
856,0.4016,-0.0912,0.2579
857,0.4016,-0.0456,0.3655
858,0.4016,0.,0.4061
859,0.4016,0.0456,0.3655
860,0.4016,0.0912,0.2579
861,0.4016,0.1368,0.1205
862,0.4016,0.1824,0.0082
863,0.4016,0.228,-0.0451
864,0.4016,0.2736,-0.0599
865,0.4016,0.3192,-0.0586
866,0.4016,0.3648,-0.0508
867,0.4016,0.4104,-0.0407
868,0.4016,0.456,-0.0309
869,0.4016,0.5016,-0.0232
870,0.4016,0.5472,-0.0194
871,0.4016,0.5928,-0.0207
872,0.4016,0.6384,-0.0285
873,0.4016,0.684,-0.0437
874,0.4016,0.7296,-0.067
875,0.4016,0.7752,-0.0984
876,0.4589,-0.7752,-0.4954
877,0.4589,-0.7296,-0.4624
878,0.4589,-0.684,-0.4365
879,0.4589,-0.6384,-0.4173
880,0.4589,-0.5928,-0.4041
881,0.4589,-0.5472,-0.3957
882,0.4589,-0.5016,-0.3904
883,0.4589,-0.456,-0.3858
884,0.4589,-0.4104,-0.3786
885,0.4589,-0.3648,-0.3632
886,0.4589,-0.3192,-0.3303
887,0.4589,-0.2736,-0.2649
888,0.4589,-0.228,-0.1534
889,0.4589,-0.1824,-0.0011
890,0.4589,-0.1368,0.1674
891,0.4589,-0.0912,0.322
892,0.4589,-0.0456,0.4325
893,0.4589,0.,0.473
894,0.4589,0.0456,0.4325
895,0.4589,0.0912,0.322
896,0.4589,0.1368,0.1674
897,0.4589,0.1824,-0.0011
898,0.4589,0.228,-0.1534
899,0.4589,0.2736,-0.2649
900,0.4589,0.3192,-0.3303
901,0.4589,0.3648,-0.3632
902,0.4589,0.4104,-0.3786
903,0.4589,0.456,-0.3858
904,0.4589,0.5016,-0.3904
905,0.4589,0.5472,-0.3957
906,0.4589,0.5928,-0.4041
907,0.4589,0.6384,-0.4173
908,0.4589,0.684,-0.4365
909,0.4589,0.7296,-0.4624
910,0.4589,0.7752,-0.4954
911,0.5163,-0.7752,-0.7939
912,0.5163,-0.7296,-0.7576
913,0.5163,-0.684,-0.7263
914,0.5163,-0.6384,-0.6995
915,0.5163,-0.5928,-0.6761
916,0.5163,-0.5472,-0.6541
917,0.5163,-0.5016,-0.6306
918,0.5163,-0.456,-0.6015
919,0.5163,-0.4104,-0.5603
920,0.5163,-0.3648,-0.4983
921,0.5163,-0.3192,-0.406
922,0.5163,-0.2736,-0.2782
923,0.5163,-0.228,-0.1189
924,0.5163,-0.1824,0.0591
925,0.5163,-0.1368,0.2373
926,0.5163,-0.0912,0.3934
927,0.5163,-0.0456,0.5026
928,0.5163,0.,0.5421
929,0.5163,0.0456,0.5026
930,0.5163,0.0912,0.3934
931,0.5163,0.1368,0.2373
932,0.5163,0.1824,0.0591
933,0.5163,0.228,-0.1189
934,0.5163,0.2736,-0.2782
935,0.5163,0.3192,-0.406
936,0.5163,0.3648,-0.4983
937,0.5163,0.4104,-0.5603
938,0.5163,0.456,-0.6015
939,0.5163,0.5016,-0.6306
940,0.5163,0.5472,-0.6541
941,0.5163,0.5928,-0.6761
942,0.5163,0.6384,-0.6995
943,0.5163,0.684,-0.7263
944,0.5163,0.7296,-0.7576
945,0.5163,0.7752,-0.7939
946,0.5736,-0.7752,-0.9771
947,0.5736,-0.7296,-0.9394
948,0.5736,-0.684,-0.903
949,0.5736,-0.6384,-0.8675
950,0.5736,-0.5928,-0.8316
951,0.5736,-0.5472,-0.7928
952,0.5736,-0.5016,-0.7474
953,0.5736,-0.456,-0.6904
954,0.5736,-0.4104,-0.6155
955,0.5736,-0.3648,-0.5161
956,0.5736,-0.3192,-0.3883
957,0.5736,-0.2736,-0.233
958,0.5736,-0.228,-0.0565
959,0.5736,-0.1824,0.1297
960,0.5736,-0.1368,0.3101
961,0.5736,-0.0912,0.465
962,0.5736,-0.0456,0.5717
963,0.5736,0.,0.6101
964,0.5736,0.0456,0.5717
965,0.5736,0.0912,0.465
966,0.5736,0.1368,0.3101
967,0.5736,0.1824,0.1297
968,0.5736,0.228,-0.0565
969,0.5736,0.2736,-0.233
970,0.5736,0.3192,-0.3883
971,0.5736,0.3648,-0.5161
972,0.5736,0.4104,-0.6155
973,0.5736,0.456,-0.6904
974,0.5736,0.5016,-0.7474
975,0.5736,0.5472,-0.7928
976,0.5736,0.5928,-0.8316
977,0.5736,0.6384,-0.8675
978,0.5736,0.684,-0.903
979,0.5736,0.7296,-0.9394
980,0.5736,0.7752,-0.9771
981,0.631,-0.7752,-1.0644
982,0.631,-0.7296,-1.0319
983,0.631,-0.684,-0.9941
984,0.631,-0.6384,-0.9524
985,0.631,-0.5928,-0.906
986,0.631,-0.5472,-0.8529
987,0.631,-0.5016,-0.7854
988,0.631,-0.456,-0.7107
989,0.631,-0.4104,-0.6134
990,0.631,-0.3648,-0.4918
991,0.631,-0.3192,-0.3451
992,0.631,-0.2736,-0.1761
993,0.631,-0.228,0.0087
994,0.631,-0.1824,0.1985
995,0.631,-0.1368,0.379
996,0.631,-0.0912,0.5316
997,0.631,-0.0456,0.6355
998,0.631,0.,0.6727
999,0.631,0.0456,0.6355
1000,0.631,0.0912,0.5316
1001,0.631,0.1368,0.379
1002,0.631,0.1824,0.1985
1003,0.631,0.228,0.0087
1004,0.631,0.2736,-0.1761
1005,0.631,0.3192,-0.3451
1006,0.631,0.3648,-0.4918
1007,0.631,0.4104,-0.6134
1008,0.631,0.456,-0.7107
1009,0.631,0.5016,-0.7854
1010,0.631,0.5472,-0.8529
1011,0.631,0.5928,-0.906
1012,0.631,0.6384,-0.9524
1013,0.631,0.684,-0.9941
1014,0.631,0.7296,-1.0319
1015,0.631,0.7752,-1.0644
1016,0.6884,-0.7752,-1.1069
1017,0.6884,-0.7296,-1.0811
1018,0.6884,-0.684,-1.0436
1019,0.6884,-0.6384,-0.9975
1020,0.6884,-0.5928,-0.9315
1021,0.6884,-0.5472,-0.8375
1022,0.6884,-0.5016,-0.7485
1023,0.6884,-0.456,-0.6695
1024,0.6884,-0.4104,-0.5957
1025,0.6884,-0.3648,-0.4598
1026,0.6884,-0.3192,-0.3013
1027,0.6884,-0.2736,-0.1237
1028,0.6884,-0.228,0.0661
1029,0.6884,-0.1824,0.2579
1030,0.6884,-0.1368,0.4376
1031,0.6884,-0.0912,0.5878
1032,0.6884,-0.0456,0.6892
1033,0.6884,0.,0.7252
1034,0.6884,0.0456,0.6892
1035,0.6884,0.0912,0.5878
1036,0.6884,0.1368,0.4376
1037,0.6884,0.1824,0.2579
1038,0.6884,0.228,0.0661
1039,0.6884,0.2736,-0.1237
1040,0.6884,0.3192,-0.3013
1041,0.6884,0.3648,-0.4598
1042,0.6884,0.4104,-0.5957
1043,0.6884,0.456,-0.6695
1044,0.6884,0.5016,-0.7485
1045,0.6884,0.5472,-0.8375
1046,0.6884,0.5928,-0.9315
1047,0.6884,0.6384,-0.9975
1048,0.6884,0.684,-1.0436
1049,0.6884,0.7296,-1.0811
1050,0.6884,0.7752,-1.1069
1051,0.7457,-0.7752,-1.1471
1052,0.7457,-0.7296,-1.1237
1053,0.7457,-0.684,-1.0847
1054,0.7457,-0.6384,-1.0341
1055,0.7457,-0.5928,-0.9446
1056,0.7457,-0.5472,-0.8479
1057,0.7457,-0.5016,-0.756
1058,0.7457,-0.456,-0.6735
1059,0.7457,-0.4104,-0.5832
1060,0.7457,-0.3648,-0.437
1061,0.7457,-0.3192,-0.27
1062,0.7457,-0.2736,-0.0862
1063,0.7457,-0.228,0.1075
1064,0.7457,-0.1824,0.3007
1065,0.7457,-0.1368,0.4798
1066,0.7457,-0.0912,0.628
1067,0.7457,-0.0456,0.7272
1068,0.7457,0.,0.7623
1069,0.7457,0.0456,0.7272
1070,0.7457,0.0912,0.628
1071,0.7457,0.1368,0.4798
1072,0.7457,0.1824,0.3007
1073,0.7457,0.228,0.1075
1074,0.7457,0.2736,-0.0862
1075,0.7457,0.3192,-0.27
1076,0.7457,0.3648,-0.437
1077,0.7457,0.4104,-0.5832
1078,0.7457,0.456,-0.6735
1079,0.7457,0.5016,-0.756
1080,0.7457,0.5472,-0.8479
1081,0.7457,0.5928,-0.9446
1082,0.7457,0.6384,-1.0341
1083,0.7457,0.684,-1.0847
1084,0.7457,0.7296,-1.1237
1085,0.7457,0.7752,-1.1471
1086,0.8031,-0.7752,-1.2056
1087,0.8031,-0.7296,-1.179
1088,0.8031,-0.684,-1.1358
1089,0.8031,-0.6384,-1.0796
1090,0.8031,-0.5928,-1.0057
1091,0.8031,-0.5472,-0.9081
1092,0.8031,-0.5016,-0.8148
1093,0.8031,-0.456,-0.7214
1094,0.8031,-0.4104,-0.5882
1095,0.8031,-0.3648,-0.4342
1096,0.8031,-0.3192,-0.2605
1097,0.8031,-0.2736,-0.0716
1098,0.8031,-0.228,0.1254
1099,0.8031,-0.1824,0.3201
1100,0.8031,-0.1368,0.4992
1101,0.8031,-0.0912,0.6463
1102,0.8031,-0.0456,0.7441
1103,0.8031,0.,0.7786
1104,0.8031,0.0456,0.7441
1105,0.8031,0.0912,0.6463
1106,0.8031,0.1368,0.4992
1107,0.8031,0.1824,0.3201
1108,0.8031,0.228,0.1254
1109,0.8031,0.2736,-0.0716
1110,0.8031,0.3192,-0.2605
1111,0.8031,0.3648,-0.4342
1112,0.8031,0.4104,-0.5882
1113,0.8031,0.456,-0.7214
1114,0.8031,0.5016,-0.8148
1115,0.8031,0.5472,-0.9081
1116,0.8031,0.5928,-1.0057
1117,0.8031,0.6384,-1.0796
1118,0.8031,0.684,-1.1358
1119,0.8031,0.7296,-1.179
1120,0.8031,0.7752,-1.2056
1121,0.8605,-0.7752,-1.2848
1122,0.8605,-0.7296,-1.2511
1123,0.8605,-0.684,-1.2021
1124,0.8605,-0.6384,-1.1401
1125,0.8605,-0.5928,-1.0657
1126,0.8605,-0.5472,-0.9783
1127,0.8605,-0.5016,-0.8761
1128,0.8605,-0.456,-0.7566
1129,0.8605,-0.4104,-0.6175
1130,0.8605,-0.3648,-0.4579
1131,0.8605,-0.3192,-0.2793
1132,0.8605,-0.2736,-0.0862
1133,0.8605,-0.228,0.1139
1134,0.8605,-0.1824,0.3107
1135,0.8605,-0.1368,0.4906
1136,0.8605,-0.0912,0.6377
1137,0.8605,-0.0456,0.7352
1138,0.8605,0.,0.7695
1139,0.8605,0.0456,0.7352
1140,0.8605,0.0912,0.6377
1141,0.8605,0.1368,0.4906
1142,0.8605,0.1824,0.3107
1143,0.8605,0.228,0.1139
1144,0.8605,0.2736,-0.0862
1145,0.8605,0.3192,-0.2793
1146,0.8605,0.3648,-0.4579
1147,0.8605,0.4104,-0.6175
1148,0.8605,0.456,-0.7566
1149,0.8605,0.5016,-0.8761
1150,0.8605,0.5472,-0.9783
1151,0.8605,0.5928,-1.0657
1152,0.8605,0.6384,-1.1401
1153,0.8605,0.684,-1.2021
1154,0.8605,0.7296,-1.2511
1155,0.8605,0.7752,-1.2848
1156,0.9178,-0.7752,-1.3678
1157,0.9178,-0.7296,-1.3307
1158,0.9178,-0.684,-1.2786
1159,0.9178,-0.6384,-1.2125
1160,0.9178,-0.5928,-1.1333
1161,0.9178,-0.5472,-1.0413
1162,0.9178,-0.5016,-0.9354
1163,0.9178,-0.456,-0.8131
1164,0.9178,-0.4104,-0.6717
1165,0.9178,-0.3648,-0.5097
1166,0.9178,-0.3192,-0.3285
1167,0.9178,-0.2736,-0.1327
1168,0.9178,-0.228,0.07
1169,0.9178,-0.1824,0.269
1170,0.9178,-0.1368,0.4508
1171,0.9178,-0.0912,0.5991
1172,0.9178,-0.0456,0.6972
1173,0.9178,0.,0.7317
1174,0.9178,0.0456,0.6972
1175,0.9178,0.0912,0.5991
1176,0.9178,0.1368,0.4508
1177,0.9178,0.1824,0.269
1178,0.9178,0.228,0.07
1179,0.9178,0.2736,-0.1327
1180,0.9178,0.3192,-0.3285
1181,0.9178,0.3648,-0.5097
1182,0.9178,0.4104,-0.6717
1183,0.9178,0.456,-0.8131
1184,0.9178,0.5016,-0.9354
1185,0.9178,0.5472,-1.0413
1186,0.9178,0.5928,-1.1333
1187,0.9178,0.6384,-1.2125
1188,0.9178,0.684,-1.2786
1189,0.9178,0.7296,-1.3307
1190,0.9178,0.7752,-1.3678
1191,0.9752,-0.7752,-1.4095
1192,0.9752,-0.7296,-1.3953
1193,0.9752,-0.684,-1.3531
1194,0.9752,-0.6384,-1.2864
1195,0.9752,-0.5928,-1.202
1196,0.9752,-0.5472,-1.1057
1197,0.9752,-0.5016,-0.999
1198,0.9752,-0.456,-0.8796
1199,0.9752,-0.4104,-0.7426
1200,0.9752,-0.3648,-0.5844
1201,0.9752,-0.3192,-0.4051
1202,0.9752,-0.2736,-0.2094
1203,0.9752,-0.228,-0.0055
1204,0.9752,-0.1824,0.1954
1205,0.9752,-0.1368,0.3793
1206,0.9752,-0.0912,0.5296
1207,0.9752,-0.0456,0.6291
1208,0.9752,0.,0.6641
1209,0.9752,0.0456,0.6291
1210,0.9752,0.0912,0.5296
1211,0.9752,0.1368,0.3793
1212,0.9752,0.1824,0.1954
1213,0.9752,0.228,-0.0055
1214,0.9752,0.2736,-0.2094
1215,0.9752,0.3192,-0.4051
1216,0.9752,0.3648,-0.5844
1217,0.9752,0.4104,-0.7426
1218,0.9752,0.456,-0.8796
1219,0.9752,0.5016,-0.999
1220,0.9752,0.5472,-1.1057
1221,0.9752,0.5928,-1.202
1222,0.9752,0.6384,-1.2864
1223,0.9752,0.684,-1.3531
1224,0.9752,0.7296,-1.3953
1225,0.9752,0.7752,-1.4095
